com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
8522c4ed-8625-4854-ae39-f242314fb750.custom.json,,-0.03,2025-03-09 12:28:24.237,2024-09-19 05:53:04.884,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,8522c4ed-8625-4854-ae39-f242314fb750,2024-09-19 00:00:00.000,,
324576b9-07d0-4df0-a669-4006e65ddc3f.custom.json,,0.05,2025-03-09 12:28:24.271,2024-09-20 13:29:17.504,36.32,100,J+ZRiIffUm,com.sec.android.app.shealth,324576b9-07d0-4df0-a669-4006e65ddc3f,2024-09-20 00:00:00.000,,
e4e95d93-b144-4ed3-8f6c-19518855f83a.custom.json,,0.27,2025-03-09 12:28:24.297,2024-09-21 06:52:06.736,36.54,100,J+ZRiIffUm,com.sec.android.app.shealth,e4e95d93-b144-4ed3-8f6c-19518855f83a,2024-09-21 00:00:00.000,,
c69b31a7-9778-4420-a1ae-8fd62881b4bd.custom.json,,0.38,2025-03-09 12:28:24.324,2024-09-22 11:02:40.421,36.66,100,J+ZRiIffUm,com.sec.android.app.shealth,c69b31a7-9778-4420-a1ae-8fd62881b4bd,2024-09-22 00:00:00.000,,
31838218-1510-484c-ac68-36a49826909e.custom.json,,0.44,2025-03-09 12:28:24.347,2024-09-23 05:59:20.115,36.72,100,J+ZRiIffUm,com.sec.android.app.shealth,31838218-1510-484c-ac68-36a49826909e,2024-09-23 00:00:00.000,,
de083679-7235-4f4d-9d59-acdb30ea9d7a.custom.json,,0.52,2024-09-24 04:49:12.456,2024-09-24 04:49:10.542,36.81,100,J+ZRiIffUm,com.sec.android.app.shealth,de083679-7235-4f4d-9d59-acdb30ea9d7a,2024-09-24 00:00:00.000,,
8d93caab-606f-414f-aeeb-e29fe5bafa68.custom.json,,0.52,2025-03-09 12:28:24.365,2024-09-24 04:49:11.011,36.81,100,J+ZRiIffUm,com.sec.android.app.shealth,8d93caab-606f-414f-aeeb-e29fe5bafa68,2024-09-24 00:00:00.000,,
b7651c4b-90d6-457c-be67-94fadd87d1d5.custom.json,,0.47,2025-03-09 12:28:24.384,2024-09-25 05:24:42.119,36.77,100,J+ZRiIffUm,com.sec.android.app.shealth,b7651c4b-90d6-457c-be67-94fadd87d1d5,2024-09-25 00:00:00.000,,
a3b851bc-d905-480d-aec3-724b0569cf8d.custom.json,[2],0.0,2024-09-26 00:25:07.284,2024-09-26 00:25:07.284,-1.0,,J+ZRiIffUm,com.sec.android.app.shealth,a3b851bc-d905-480d-aec3-724b0569cf8d,2024-09-26 00:00:00.000,,
3ae0de86-0ff1-4ebe-9e8c-1594f6200127.custom.json,,-0.03,2025-03-09 12:28:24.419,2024-09-27 14:05:14.822,36.28,100,J+ZRiIffUm,com.sec.android.app.shealth,3ae0de86-0ff1-4ebe-9e8c-1594f6200127,2024-09-27 00:00:00.000,,
cd263c27-de78-40cd-8412-d6d51c27405f.custom.json,,0.01,2025-03-09 12:28:24.446,2024-09-29 19:43:13.639,36.32,100,J+ZRiIffUm,com.sec.android.app.shealth,cd263c27-de78-40cd-8412-d6d51c27405f,2024-09-28 00:00:00.000,,
bcf02243-d0de-4722-9a51-4312d9b98aca.custom.json,,0.1,2025-03-09 12:28:24.468,2024-09-29 19:43:13.651,36.41,100,J+ZRiIffUm,com.sec.android.app.shealth,bcf02243-d0de-4722-9a51-4312d9b98aca,2024-09-29 00:00:00.000,,
95de9924-2de4-436b-a623-37c3fac8b365.custom.json,,0.12,2025-03-09 12:28:24.505,2024-09-30 15:10:20.938,36.43,100,J+ZRiIffUm,com.sec.android.app.shealth,95de9924-2de4-436b-a623-37c3fac8b365,2024-09-30 00:00:00.000,,
1ad1519d-c2e3-4211-a70a-efe65c878f99.custom.json,,0.06,2025-03-09 12:28:24.526,2024-10-01 21:58:27.552,36.37,100,J+ZRiIffUm,com.sec.android.app.shealth,1ad1519d-c2e3-4211-a70a-efe65c878f99,2024-10-01 00:00:00.000,,
709f656c-834f-4d37-9a0e-da67d975b111.custom.json,,-0.08,2025-03-09 12:28:24.554,2024-10-02 13:42:14.047,36.23,100,J+ZRiIffUm,com.sec.android.app.shealth,709f656c-834f-4d37-9a0e-da67d975b111,2024-10-02 00:00:00.000,,
c8b1540b-3946-442a-8bb2-d3ae1b53a8de.custom.json,,-0.07,2025-03-09 12:28:24.605,2024-10-03 22:16:44.769,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,c8b1540b-3946-442a-8bb2-d3ae1b53a8de,2024-10-03 00:00:00.000,,
856090b1-fb3b-4f9d-bba4-fbe12f0eacf8.custom.json,,-0.28,2025-03-09 12:28:24.645,2024-10-04 14:23:42.789,36.03,100,J+ZRiIffUm,com.sec.android.app.shealth,856090b1-fb3b-4f9d-bba4-fbe12f0eacf8,2024-10-04 00:00:00.000,,
a3680ee5-1415-4173-92f8-e1d48d1c5df0.custom.json,,-0.47,2025-03-09 12:28:24.667,2024-10-05 14:35:07.178,35.83,100,J+ZRiIffUm,com.sec.android.app.shealth,a3680ee5-1415-4173-92f8-e1d48d1c5df0,2024-10-05 00:00:00.000,,
38388fe8-58c6-457c-bad6-90eb7de17785.custom.json,,-0.48,2025-03-09 12:28:24.689,2024-10-06 13:37:02.272,35.82,100,J+ZRiIffUm,com.sec.android.app.shealth,38388fe8-58c6-457c-bad6-90eb7de17785,2024-10-06 00:00:00.000,,
